TITLE = "New Centroid Vectors"
VARIABLES = "XV", "YV", "ZV" 
ZONE T="Step 0 Incr 0" 
F = VECTORS
5.080793970488148847e-01 8.612514610308278362e-01 1.006216511378757797e-02
3.800631659124906747e-01 -2.691472576351641166e-01 8.849360110335917629e-01
3.982352774454657740e-01 -6.201471775681350884e-01 6.758891491599852142e-01
3.960402115472944629e-01 -6.430551151295930135e-01 6.554634007656262584e-01
5.219085499882289980e-01 8.527239247001162648e-01 2.175715269088998247e-02
2.729269102893786547e-01 -6.173049297856735285e-01 -7.378655197949001154e-01
4.645889030901245165e-01 8.838707951747031277e-01 -5.412548903015140106e-02
4.229110082078035293e-01 -8.687327314300959946e-01 2.577784329199473423e-01
4.074331211460199276e-01 -7.392632711701061510e-01 5.361791376882233395e-01
5.198239092899560321e-01 8.541400103480478734e-01 1.509788240595826697e-02
5.204564467465719879e-01 8.538193720510793838e-01 1.084282943853824045e-02
-2.445392079679212793e-01 -3.465302083462099558e-01 -9.056033295378026482e-01
3.505352786567625389e-01 -7.617632554907077802e-01 -5.448318648915685403e-01
3.215056856014461562e-01 9.413873778126273795e-01 -1.020974976236429660e-01
9.947167977704706177e-01 1.000423086658992489e-01 -2.302235240060507976e-02
5.061778620522889849e-01 8.624074903352152432e-01 -6.106765255783781418e-03
5.226972600806267799e-01 8.524604007029887853e-01 9.941807557252659369e-03
5.164784766647656511e-01 8.562986394269405110e-01 1.619647373284276203e-03
5.571689354026284624e-01 -6.114505377765951932e-01 -5.618638778877086404e-01
6.349822105602205280e-01 7.695694059950221044e-01 6.753163427997761759e-02
6.028088039871470905e-01 7.890991337989690102e-01 1.180851509432999796e-01
4.052530726586930365e-01 -9.140755492606986721e-01 1.535699659568581441e-02
4.837114724520000242e-01 8.728252801665593585e-01 -6.480155646653330825e-02
5.949818265693201935e-01 7.943450239286421466e-01 1.225259524020944069e-01
4.157546408083716560e-01 -9.080848553658781297e-01 5.029884791358717189e-02
3.166384304063570299e-01 8.265352430984550525e-01 -4.653811301567526426e-01
3.366299295865934349e-01 8.953739666031725886e-01 -2.915231559170317066e-01
4.469537694475056999e-01 -8.944578924748227688e-01 1.331940562353709119e-02
4.732639957657490126e-01 8.784915477509369630e-01 -6.537423683684935594e-02
4.672311571786730289e-01 8.812155671410981661e-01 -7.179254828790215814e-02
4.755265166600887716e-01 8.779405802487197930e-01 -5.563155135050061595e-02
4.642438209941907035e-01 8.803521599515494733e-01 -9.725095957035743977e-02
4.789587426062039688e-01 8.759275853412794577e-01 -5.787389842821689251e-02
4.660791257381549091e-01 8.815274950127603981e-01 -7.536261730914618762e-02
4.831082437938143403e-01 8.744870523298838849e-01 -4.334535829644658306e-02
4.790300237502631009e-01 8.757579643586390628e-01 -5.981825982285843973e-02
4.818679600949162811e-01 8.749790952435584357e-01 -4.706221330035471190e-02
4.790473638210934193e-01 8.761114761148618424e-01 -5.424301462767935206e-02
4.745810994525949122e-01 8.747589377002608080e-01 -9.782423501299447599e-02
4.655322710054389801e-01 8.820518310165327280e-01 -7.255530340988587679e-02
4.704962316312125692e-01 8.796292310014213189e-01 -6.989786826990142254e-02
4.646693250075182857e-01 8.779414127513414101e-01 -1.153312367627954832e-01
4.674291569135058388e-01 8.807920300246251388e-01 -7.560015285850264777e-02
4.754928511466699481e-01 8.783302990628698570e-01 -4.942099004006623997e-02
4.781151095298822873e-01 8.768605786720538031e-01 -5.021421721126132637e-02
