TITLE     = "ANALYZED MODEL"
VARIABLES = "X", "Y", "Z", "C"
ZONE T="STEP 0 Incr 0"
F = POINT
20.920904 -1.781253 -2.672511 0.000000
22.320694 -2.566034 -1.730360 0.000000
20.837773 -2.733101 -0.500660 0.000000
22.286158 -2.952465 -0.496124 0.000000
17.891630 -2.614409 0.728150 0.000000
19.346221 -2.774774 0.663476 0.000000
17.877462 -2.718087 1.916657 0.000000
19.342808 -2.886677 1.912750 0.000000
23.768603 -2.801423 -1.737650 0.000000
25.211876 -3.057757 -1.739827 0.000000
39.350300 -2.390010 -9.714000 0.000000
39.350300 -2.006020 -9.915030 0.000000
38.410300 -2.006020 -9.714000 0.000000
36.458100 -0.963142 -9.714000 0.000000
36.458100 -0.559886 -9.845100 0.000000
35.843300 -0.559886 -9.714000 0.000000
35.011900 0.279529 -9.714000 0.000000
35.011900 0.886253 -9.794160 0.000000
34.640500 0.886253 -9.714000 0.000000
36.458100 0.886253 -10.079900 0.000000
37.904200 -1.757220 -9.714000 0.000000
37.904200 -0.559886 -10.137800 0.000000
39.350300 -0.559886 -10.411900 0.000000
37.904200 0.886253 -10.333900 0.000000
39.350300 0.886253 -10.557600 0.000000
49.473300 -5.171210 -9.714000 0.000000
49.473300 -4.898300 -9.980080 0.000000
48.126200 -4.898300 -9.714000 0.000000
50.919500 -5.438770 -9.714000 0.000000
50.919500 -4.898300 -10.244300 0.000000
40.796500 -2.948480 -9.714000 0.000000
40.796500 -2.006020 -10.223900 0.000000
42.242600 -3.437210 -9.714000 0.000000
42.242600 -2.006020 -10.510300 0.000000
43.688800 -3.877720 -9.714000 0.000000
43.688800 -3.452160 -10.018900 0.000000
42.291400 -3.452160 -9.714000 0.000000
45.134900 -4.249450 -9.714000 0.000000
45.134900 -3.452160 -10.294900 0.000000
43.688800 -2.006020 -10.771100 0.000000
45.134900 -2.006020 -11.009600 0.000000
40.796500 -0.559886 -10.666200 0.000000
42.242600 -0.559886 -10.908800 0.000000
40.796500 0.886253 -10.764200 0.000000
42.242600 0.886253 -10.975800 0.000000
45.134900 -1.543380 -11.160100 0.000000
45.134900 -0.559886 -11.367100 0.000000
43.778000 -0.559886 -11.160100 0.000000
43.688800 -0.372548 -11.160100 0.000000
43.688800 0.886253 -11.188700 0.000000
43.503900 0.886253 -11.160100 0.000000
45.134900 0.886253 -11.380500 0.000000
43.688800 -0.559886 -11.144700 0.000000
46.581000 -2.209600 -11.160100 0.000000
46.581000 -2.006020 -11.235100 0.000000
46.119800 -2.006020 -11.160100 0.000000
48.027200 -2.737720 -11.160100 0.000000
48.027200 -2.006020 -11.448600 0.000000
46.581000 -4.571170 -9.714000 0.000000
46.581000 -3.452160 -10.547800 0.000000
48.027200 -4.875860 -9.714000 0.000000
48.027200 -3.452160 -10.786800 0.000000
50.919500 -3.591470 -11.160100 0.000000
50.919500 -3.452160 -11.242300 0.000000
50.346600 -3.452160 -11.160100 0.000000
49.473300 -3.192050 -11.160100 0.000000
49.473300 -2.006020 -11.647700 0.000000
50.919500 -2.006020 -11.833700 0.000000
49.473300 -3.452160 -11.018800 0.000000
46.581000 -0.559886 -11.566300 0.000000
48.027200 -0.559886 -11.743800 0.000000
46.581000 0.886253 -11.541200 0.000000
48.027200 0.886253 -11.679200 0.000000
49.473300 -0.559886 -11.904500 0.000000
50.919500 -0.559886 -12.051400 0.000000
49.473300 0.886253 -11.806800 0.000000
50.919500 0.886253 -11.927100 0.000000
29.227400 -5.117690 -3.929450 0.000000
29.227400 -4.898300 -4.353560 0.000000
28.564147 -3.138872 -3.049195 0.000000
30.673500 -5.411620 -3.929450 0.000000
30.673500 -4.898300 -4.928790 0.000000
32.119700 -4.955760 -5.375590 0.000000
32.119700 -4.898300 -5.466100 0.000000
31.876000 -4.898300 -5.375590 0.000000
33.565800 -5.268320 -5.375590 0.000000
33.565800 -4.898300 -5.973270 0.000000
32.119700 -5.675340 -3.929450 0.000000
33.565800 -5.907380 -3.929450 0.000000
36.458100 -4.951000 -6.821720 0.000000
36.458100 -4.898300 -6.890340 0.000000
36.213900 -4.898300 -6.821720 0.000000
37.904200 -5.252130 -6.821720 0.000000
37.904200 -4.898300 -7.300110 0.000000
39.350300 -5.519640 -6.821720 0.000000
39.350300 -4.898300 -7.678820 0.000000
35.011900 -5.545240 -5.375590 0.000000
35.011900 -4.898300 -6.443760 0.000000
36.458100 -5.790820 -5.375590 0.000000
35.011900 -6.112970 -3.929450 0.000000
36.458100 -6.305450 -3.929450 0.000000
37.904200 -6.013360 -5.375590 0.000000
39.350300 -6.224740 -5.375590 0.000000
37.904200 -6.499780 -3.929450 0.000000
37.904200 -6.344440 -4.450760 0.000000
